resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
steel,14,PRUNED,30,783.0940381004066,0.9738023601926383,804.1611625848743,-93.68731877764458,"[""own_dist_mean_7"", ""own_z_7"", ""own_dist_high_7"", ""own_std_14"", ""cement_vol_21"", ""own_z_14"", ""copper_vol_7"", ""own_z_3"", ""own_dist_low_7"", ""coal_ret_1m"", ""own_ret_1"", ""iron_ore_dev_12m"", ""own_accel"", ""usd_ret_5"", ""own_ret_lag_3"", ""own_range_3"", ""own_vol_30"", ""usd_ret_21"", ""own_vol_7"", ""aluminium_lag_3"", ""own_ret_lag_2"", ""own_z_5"", ""dom"", ""own_range_14"", ""own_vol_3"", ""copper_vol_21"", ""own_ret_lag_60"", ""aluminium_lag_1"", ""own_z_30"", ""own_rsi_7""]"
steel,21,ALL,229,1496.9212096900428,1.7745838336293125,843.533667625381,,
steel,21,minus_own_lags,196,1390.5055356519492,1.6484292080081884,843.533667625381,-106.41567403809358,
steel,21,minus_own_rolling,172,1767.7426239097006,2.0956396783616786,843.533667625381,270.82141421965775,
steel,21,minus_own_momentum,200,1590.473547596286,1.885489113995419,843.533667625381,93.55233790624311,
steel,21,minus_calendar,223,1533.214953340883,1.8176096724829176,843.533667625381,36.29374365084027,
steel,21,minus_cross_resource,164,1500.5703736632036,1.7789098778800814,843.533667625381,3.6491639731607393,
steel,21,minus_fx,221,1506.0178197519879,1.7853677660449003,843.533667625381,9.096610061945057,
steel,21,minus_external_macro,198,1574.6021597120302,1.866673756063192,843.533667625381,77.68095002198743,
steel,21,PRUNED,30,977.5107663663836,1.1588283952176557,843.533667625381,-519.4104433236593,"[""own_dist_mean_7"", ""own_z_3"", ""cement_vol_21"", ""own_dist_high_7"", ""own_mom_3"", ""ratio_own_copper_z21"", ""own_vol_21"", ""copper_vol_7"", ""own_dist_high_21"", ""own_usd_deflated"", ""ratio_own_cement_z21"", ""own_std_5"", ""own_std_14"", ""own_z_60"", ""own_z_7"", ""copper_ret_21"", ""cement_z_7"", ""own_rsi_14"", ""own_mom_7"", ""oil_z_7"", ""own_z_45"", ""cement_ret_1"", ""own_ret_lag_5"", ""own_vol_7"", ""own_dist_low_60"", ""own_z_21"", ""aluminium_lag_7"", ""gap_roll_mean_5"", ""own_ret_3"", ""own_dist_mean_60""]"
cement,1,ALL,229,115.89032489577619,0.9491158098833098,122.10346059879086,,
cement,1,minus_own_lags,196,117.2419452103014,0.9601852775945189,122.10346059879086,1.3516203145252064,
cement,1,minus_own_rolling,172,111.62611148965186,0.9141928569611503,122.10346059879086,-4.264213406124327,
cement,1,minus_own_momentum,200,117.59190094162132,0.9630513366693703,122.10346059879086,1.7015760458451297,
cement,1,minus_calendar,223,114.4966872386928,0.9377022295453812,122.10346059879086,-1.3936376570833886,
cement,1,minus_cross_resource,164,116.8346417966253,0.9568495538428848,122.10346059879086,0.9443169008491168,
cement,1,minus_fx,221,116.4769106182296,0.9539198155976181,122.10346059879086,0.5865857224534068,
cement,1,minus_external_macro,198,115.2594583896176,0.9439491544661346,122.10346059879086,-0.6308665061585828,
